IP地址,数据中心,地区,城市,网络延迟
2a06:98c1:3109:668b:3e6e:ce20:b63f:40c9,LAX,North America,Los Angeles,227 ms
2606:4700:8dd7:5bbf:ada2:bd64:8e8c:a12f,FRA,Europe,Frankfurt,227 ms
2606:4700:311d:7e50:bcda:1888:c1eb:11b1,LAX,North America,Los Angeles,228 ms
2606:4700:8d94:f7f4:e9ef:460d:c6b5:8f0e,FRA,Europe,Frankfurt,228 ms
2a06:98c1:3108:ac31:1d71:8a88:941d:d2c0,LAX,North America,Los Angeles,228 ms
2606:4700:3118:4128:d301:d5bb:180f:e351,LAX,North America,Los Angeles,228 ms
2606:4700:8d74:3ce1:3f43:70f9:2b8:ee94,FRA,Europe,Frankfurt,228 ms
2606:4700:440a:9f7a:8992:d3e7:515d:5e4b,LAX,North America,Los Angeles,228 ms
2606:4700:51:aa75:c33c:b67d:d142:621a,LAX,North America,Los Angeles,228 ms
2606:4700:8d73:11dd:aa26:ee14:4152:d224,FRA,Europe,Frankfurt,229 ms
2606:4700:8d7c:d4fe:dd4c:e9ac:9b1:1f8e,FRA,Europe,Frankfurt,229 ms
2606:4700:839c:c112:6dab:985b:5493:aa4f,FRA,Europe,Frankfurt,229 ms
2606:4700:9c6d:637a:e033:3e7c:8479:858b,FRA,Europe,Frankfurt,229 ms
2606:4700:8d76:5904:a1d2:c1f:40f0:5f39,FRA,Europe,Frankfurt,229 ms
2606:4700:976e:81a9:7bcb:285c:3a5e:5ab1,FRA,Europe,Frankfurt,229 ms
2a06:98c1:3106:af40:35a7:2b84:f9c2:bb65,LAX,North America,Los Angeles,229 ms
2606:4700:50:f662:b833:d789:55e5:70ce,LAX,North America,Los Angeles,229 ms
2606:4700:56:8c25:8c92:8779:f846:2932,LAX,North America,Los Angeles,229 ms
2606:4700:53:3572:dfc4:83b8:442b:86fb,LAX,North America,Los Angeles,229 ms
2606:4700:52:1275:44bd:7c85:7e66:d5b9,LAX,North America,Los Angeles,229 ms
2606:4700:3108:c948:9e20:4eb4:8835:49ca,LAX,North America,Los Angeles,230 ms
2606:4700:4406:d492:5361:ad4c:fde5:6aac,LAX,North America,Los Angeles,230 ms
2606:4700:5:c3a:d726:a374:fe8a:b317,LAX,North America,Los Angeles,230 ms
2a06:98c1:3105:e8fe:e409:3268:a339:d8c8,LAX,North America,Los Angeles,230 ms
2a06:98c1:3104:992d:9c15:d6d2:71b3:b3fe,LAX,North America,Los Angeles,230 ms
2606:4700:8dd0:233:68a3:afa0:9b8c:97d7,FRA,Europe,Frankfurt,230 ms
2606:4700:8d7a:4659:5265:ac42:2665:9069,FRA,Europe,Frankfurt,230 ms
2606:4700:85de:5e39:192b:c4fa:56dc:7b5b,FRA,Europe,Frankfurt,230 ms
2606:4700:8d79:d5a9:90cf:946b:46fa:7ac7,FRA,Europe,Frankfurt,230 ms
2a06:98c1:3107:3c55:8ddc:7ec3:e333:497e,LAX,North America,Los Angeles,230 ms
2606:4700:311e:8b72:1f6c:e359:b44b:f616,LAX,North America,Los Angeles,230 ms
2a06:98c1:3103:26a9:629f:1ddb:5167:a7b5,LAX,North America,Los Angeles,230 ms
2606:4700:8d77:d4ff:5729:d8fd:4857:9f56,FRA,Europe,Frankfurt,230 ms
2606:4700:964f:b5d0:9cbd:1eda:3200:bbc4,FRA,Europe,Frankfurt,230 ms
2606:4700:8d70:9e3c:3bbc:e162:9589:a66f,FRA,Europe,Frankfurt,230 ms
2606:4700:3117:5406:fac0:c6e8:be84:6ac7,LAX,North America,Los Angeles,230 ms
2606:4700:3055:1aed:5cf4:ff02:da36:5245,LAX,North America,Los Angeles,230 ms
2606:4700:9b0d:20f8:7ac6:a01e:fe42:b4ec,FRA,Europe,Frankfurt,231 ms
2a06:98c1:3102:cf4c:adb5:d136:ffa4:f545,LAX,North America,Los Angeles,231 ms
2606:4700:8ddd:da90:e1be:fcd5:e5cb:b1cc,FRA,Europe,Frankfurt,231 ms
2606:4700:311b:4f56:9699:908a:b812:c420,LAX,North America,Los Angeles,231 ms
2606:4700:8d9f:9ed2:3374:849:1269:cec6,FRA,Europe,Frankfurt,231 ms
2606:4700:4700:ce03:8586:a926:d48e:fda5,LAX,North America,Los Angeles,231 ms
2606:4700:3111:a77b:8de1:8f7a:285f:5aa1,LAX,North America,Los Angeles,231 ms
2606:4700:3027:c018:a74e:6234:c20d:4abe,LAX,North America,Los Angeles,231 ms
2606:4700:3056:ac94:9429:4bda:dc40:ba94,LAX,North America,Los Angeles,231 ms
2606:4700:7:1c4d:c765:b004:7026:4357,LAX,North America,Los Angeles,231 ms
2a06:98c1:3101:234c:ccdb:5419:9e90:e294,LAX,North America,Los Angeles,231 ms
2606:4700:85dc:d82d:ff3e:ae2e:da75:2a0d,FRA,Europe,Frankfurt,231 ms
2606:4700:8d9a:f430:9a68:4467:27cd:148a,FRA,Europe,Frankfurt,232 ms
2606:4700:3024:bbd8:2642:ad2e:603b:cb1d,LAX,North America,Los Angeles,232 ms
2606:4700:4403:c2bc:6a19:da99:2cc8:ea63,LAX,North America,Los Angeles,232 ms
2606:4700:8d9d:813b:1695:30ed:5bf:7478,FRA,Europe,Frankfurt,232 ms
2a06:98c1:3100:1ed9:1091:15db:1943:d052,LAX,North America,Los Angeles,232 ms
2a06:98c1:310f:eb45:46cb:27e6:3831:9309,LAX,North America,Los Angeles,232 ms
2606:4700:4408:e9df:bea6:277a:aad4:5618,LAX,North America,Los Angeles,232 ms
2606:4700:4407:45e3:239:98c6:c012:35e,LAX,North America,Los Angeles,232 ms
2606:4700:4409:b362:dad9:a91f:fe65:b9f,LAX,North America,Los Angeles,232 ms
2606:4700:8dd3:a52d:113d:13eb:f73f:a43d,FRA,Europe,Frankfurt,232 ms
2606:4700:4404:2151:2bfb:cf60:e644:a3f6,LAX,North America,Los Angeles,233 ms
2606:4700:8d99:be5d:b510:ab2a:de82:f2df,FRA,Europe,Frankfurt,233 ms
2606:4700:3019:1256:e93a:59e0:e55:4f29,LAX,North America,Los Angeles,233 ms
2606:4700:4405:254e:376d:8889:ae57:c599,LAX,North America,Los Angeles,233 ms
2606:4700:310c:6f03:ce60:5b63:9696:1456,LAX,North America,Los Angeles,233 ms
2606:4700:8d72:40a6:32da:f55b:20a0:3809,FRA,Europe,Frankfurt,233 ms
2606:4700:4401:3091:97e1:d16f:920c:ad7c,LAX,North America,Los Angeles,233 ms
2606:4700:8d9c:b05f:11f4:efb2:5933:1815,FRA,Europe,Frankfurt,233 ms
2606:4700:8de5:93bf:bc72:1071:8af2:7a99,FRA,Europe,Frankfurt,233 ms
2606:4700:85d7:9b1:9621:c01f:40cf:a442,FRA,Europe,Frankfurt,233 ms
2606:4700:4400:75e4:3c2:2cbb:2cf0:8aa2,LAX,North America,Los Angeles,234 ms
2606:4700:85db:e408:d343:2ed1:9f68:9931,FRA,Europe,Frankfurt,234 ms
2a06:98c1:310e:5c0f:352c:f5c8:7ea2:9905,LAX,North America,Los Angeles,234 ms
2606:4700:8de8:40a3:b685:bc9d:65ec:19fa,FRA,Europe,Frankfurt,234 ms
2606:4700:99ee:97a4:f0fe:eb51:324a:827b,FRA,Europe,Frankfurt,234 ms
2606:4700:8cac:d12d:5826:595b:d989:4b8d,FRA,Europe,Frankfurt,234 ms
2606:4700:3038:959a:64f4:78bd:e9aa:96e4,LAX,North America,Los Angeles,234 ms
2606:4700:58:c8a6:ecdc:7504:3798:ba60,LAX,North America,Los Angeles,234 ms
2606:4700:4402:2b17:5645:d6f1:56a4:b8d2,LAX,North America,Los Angeles,234 ms
2606:4700:839e:a71c:f3b:4b0b:82d0:c168,FRA,Europe,Frankfurt,235 ms
2a06:98c1:56:fbcd:cd96:48b1:254:f1c9,LAX,North America,Los Angeles,235 ms
2606:4700:839d:2864:1b6c:7d03:2f1d:5c19,FRA,Europe,Frankfurt,235 ms
2606:4700:964e:35a9:a745:f6e7:3145:7e50,FRA,Europe,Frankfurt,235 ms
2606:4700:9aed:efec:e177:e857:fb63:e7d,FRA,Europe,Frankfurt,235 ms
2606:4700:c:5ba3:24fd:1fc9:7742:db84,LAX,North America,Los Angeles,235 ms
2606:4700:8:24fb:9009:ab93:90e5:d716,LAX,North America,Los Angeles,235 ms
2606:4700:3029:a659:bb8f:20da:1266:3147,LAX,North America,Los Angeles,236 ms
2606:4700:8d96:9f0d:5a37:9ecb:24ee:7c67,FRA,Europe,Frankfurt,236 ms
2606:4700:8ded:257d:32c5:faed:6eb:228b,FRA,Europe,Frankfurt,236 ms
2606:4700:8d7d:9053:dd2e:c3de:d23a:a3f1,FRA,Europe,Frankfurt,237 ms
2606:4700:9aec:9962:e37e:d8c7:7272:c5d0,FRA,Europe,Frankfurt,237 ms
2606:4700:8d93:8c15:4923:7af2:5229:b3f5,FRA,Europe,Frankfurt,237 ms
2606:4700:3025:2f88:269a:d843:dcd2:3c66,LAX,North America,Los Angeles,237 ms
2606:4700:0:71bb:dcf4:4cc9:b481:ec7b,LAX,North America,Los Angeles,237 ms
2606:4700:8d7b:aa2e:5540:7d3a:106f:f6e5,FRA,Europe,Frankfurt,237 ms
2606:4700:8d98:7998:3d4e:3e81:3049:baae,FRA,Europe,Frankfurt,237 ms
2606:4700:3012:ba41:fda0:32a:6892:4140,LAX,North America,Los Angeles,238 ms
2606:4700:8de6:8e88:3576:f6b5:b9a8:b8bf,FRA,Europe,Frankfurt,238 ms
2606:4700:b:6ed5:da20:9eee:e107:cacf,LAX,North America,Los Angeles,238 ms
2606:4700:8dec:3692:e81e:321:9c81:aeb7,FRA,Europe,Frankfurt,238 ms
2606:4700:964d:378a:3dc2:d2e6:a95d:7075,FRA,Europe,Frankfurt,238 ms
2606:4700:3039:f988:57f9:d793:7755:8199,LAX,North America,Los Angeles,238 ms
2606:4700:4:8ce1:c8ad:682a:d90f:e5cb,LAX,North America,Los Angeles,238 ms
2606:4700:3028:8c7c:9bd7:62e4:80d1:a592,LAX,North America,Los Angeles,238 ms
2606:4700:99ed:d1c2:c320:725f:2c8d:8fe7,FRA,Europe,Frankfurt,238 ms
2606:4700:8dee:dae6:ff48:53b2:52ec:3543,FRA,Europe,Frankfurt,239 ms
2606:4700:3010:f89d:35da:1b4a:1065:b8c8,LAX,North America,Los Angeles,239 ms
2606:4700:3003:21e5:5f17:f2f3:44c1:9007,LAX,North America,Los Angeles,239 ms
2606:4700:e:7c4e:78d5:b661:db39:16e,LAX,North America,Los Angeles,239 ms
2606:4700:85d5:8a3b:c26c:efec:b924:dbe3,FRA,Europe,Frankfurt,239 ms
2606:4700:8d78:72e8:baba:c8ac:b9c4:a8f2,FRA,Europe,Frankfurt,239 ms
2400:cb00:2049:6ff8:e4c:90db:816f:ebcf,LAX,North America,Los Angeles,239 ms
2606:4700:99ec:c040:f21e:7730:242e:2137,FRA,Europe,Frankfurt,239 ms
2606:4700:a1:452f:f792:11db:271c:1fb8,LAX,North America,Los Angeles,240 ms
2606:4700:8d9b:371:28ea:af71:4a4:561c,FRA,Europe,Frankfurt,240 ms
2606:4700:8de3:1d51:3cb3:a7fb:6ec6:3124,FRA,Europe,Frankfurt,240 ms
2606:4700:15:5c5f:d584:6f61:5aa9:4b5,LAX,North America,Los Angeles,240 ms
2606:4700:8de7:1080:f1a3:4d8b:1bf7:f4dc,FRA,Europe,Frankfurt,240 ms
2606:4700:9b0f:7940:755e:ed9a:d14c:6db0,FRA,Europe,Frankfurt,240 ms
2606:4700:8d90:4479:affc:a9ae:312c:c58b,FRA,Europe,Frankfurt,240 ms
2606:4700:9aee:544d:e42:620a:fcb5:5f89,FRA,Europe,Frankfurt,240 ms
2606:4700:85d9:d8da:5323:5a26:a1cf:d80a,FRA,Europe,Frankfurt,240 ms
2606:4700:8de2:7a1c:142a:3c21:e153:4b2c,FRA,Europe,Frankfurt,240 ms
2606:4700:85d8:e16c:42:787c:1d82:6fac,FRA,Europe,Frankfurt,240 ms
2606:4700:8caf:1d47:e23e:39f4:8b26:ce50,FRA,Europe,Frankfurt,240 ms
2606:4700:5a:f9a:4bdc:36b6:db06:fa2b,LAX,North America,Los Angeles,241 ms
2606:4700:8d9e:f08c:3e84:1ca4:4f7f:880b,FRA,Europe,Frankfurt,241 ms
2606:4700:8d92:219b:ce16:d580:b8b:b665,FRA,Europe,Frankfurt,241 ms
2606:4700:a:80f4:ccda:d053:1d64:a790,LAX,North America,Los Angeles,241 ms
2606:4700:9b0e:55de:5e4f:2eea:35:e31a,FRA,Europe,Frankfurt,241 ms
2606:4700:3116:4a52:2014:77b0:b6f4:b677,LAX,North America,Los Angeles,241 ms
2606:4700:85dd:c8ff:ec8c:d287:91c2:16d3,FRA,Europe,Frankfurt,241 ms
2606:4700:134:7303:a5bc:dae5:41e1:b473,LAX,North America,Los Angeles,241 ms
2606:4700:13d:2d55:e4fa:20bf:855b:df99,LAX,North America,Los Angeles,241 ms
2606:4700:1a:80cc:e29f:3425:4ee1:5669,LAX,North America,Los Angeles,241 ms
2606:4700:8d95:ea2a:3fc9:3dff:443a:5938,FRA,Europe,Frankfurt,241 ms
2606:4700:8cae:1a7e:12d2:9f3a:692e:4f5e,FRA,Europe,Frankfurt,241 ms
2400:cb00:f00e:c15d:d52d:b6c6:81e5:2f8e,LAX,North America,Los Angeles,241 ms
2606:4700:21:1870:7e9a:5a3:8dc1:f4b4,LAX,North America,Los Angeles,241 ms
2606:4700:8deb:f71:f021:59cc:cee0:2200,FRA,Europe,Frankfurt,242 ms
2606:4700:1:ca97:fe1:c42d:7985:94a8,LAX,North America,Los Angeles,242 ms
2606:4700:85d0:c0de:fb5b:d1b8:31d9:1bca,FRA,Europe,Frankfurt,242 ms
2606:4700:8de4:50a6:6d12:c53e:24b:d690,FRA,Europe,Frankfurt,242 ms
2606:4700:9aef:8523:6453:a989:4f6f:b3ee,FRA,Europe,Frankfurt,242 ms
2606:4700:964c:4777:14db:d863:c9ea:423f,FRA,Europe,Frankfurt,242 ms
2606:4700:13e:d850:afb0:4154:8288:a920,LAX,North America,Los Angeles,242 ms
2606:4700:91bf:95d6:50c6:111c:7e2e:4581,FRA,Europe,Frankfurt,243 ms
2606:4700:3015:3a33:13a:f910:81d4:9e92,LAX,North America,Los Angeles,243 ms
2606:4700:8dd4:1d76:8ce5:625c:2d6d:3d96,FRA,Europe,Frankfurt,243 ms
2606:4700:85df:8f72:4e8b:5d90:7fec:d70e,FRA,Europe,Frankfurt,243 ms
2606:4700:13c:2538:1e66:43d6:ca88:121a,SJC,North America,San Jose,243 ms
2606:4700:83bf:bfb1:ff0c:cfcb:b9f3:66a5,FRA,Europe,Frankfurt,244 ms
2606:4700:83bc:45c6:8eea:1377:9e86:4e9a,FRA,Europe,Frankfurt,244 ms
2606:4700:10:4434:8e2:9db0:b1ab:927c,LAX,North America,Los Angeles,244 ms
2606:4700:3016:c4b4:ec88:1f95:5ade:187,LAX,North America,Los Angeles,245 ms
2606:4700:8d7f:3b68:3c6f:3bb1:6ae2:4e65,FRA,Europe,Frankfurt,245 ms
2606:4700:8d91:c844:bce5:2278:a8f2:5c5,FRA,Europe,Frankfurt,245 ms
2606:4700:8cad:a36a:820c:42cd:2182:9aff,FRA,Europe,Frankfurt,246 ms
2606:4700:85d6:87d4:4b79:a05e:ab61:3805,FRA,Europe,Frankfurt,246 ms
2606:4700:85da:dab4:1b51:8a2c:8e55:95be,FRA,Europe,Frankfurt,246 ms
2606:4700:976f:fdf7:1cf1:bd1a:7f29:c1c3,FRA,Europe,Frankfurt,247 ms
2606:4700:133:df59:3995:563a:f867:1b81,LAX,North America,Los Angeles,247 ms
2606:4700:1c:2953:a40e:777d:5edb:4a66,LAX,North America,Los Angeles,247 ms
2606:4700:83bd:b7bf:fe3d:eb84:e0f8:a019,FRA,Europe,Frankfurt,247 ms
2606:4700:85d3:a819:d27d:30d8:57c7:b703,FRA,Europe,Frankfurt,247 ms
2606:4700:85d4:23c6:804e:9920:7941:c667,FRA,Europe,Frankfurt,247 ms
2606:4700:83be:6f46:86e9:7be1:67df:b1a,FRA,Europe,Frankfurt,248 ms
2606:4700:85d2:3457:5490:8502:5e3c:6be2,FRA,Europe,Frankfurt,248 ms
2606:4700:8def:6800:5064:1861:469d:771,FRA,Europe,Frankfurt,248 ms
2606:4700:9:2c13:6875:704f:11f8:86a0,LAX,North America,Los Angeles,248 ms
2606:4700:54:2af:ebb5:36ee:58aa:452b,LAX,North America,Los Angeles,248 ms
2606:4700:136:9e17:30e4:1586:d7de:a95c,LAX,North America,Los Angeles,248 ms
2606:4700:13a:7277:7eb:16be:c132:a9f8,LAX,North America,Los Angeles,248 ms
2606:4700:101:99b4:fcb7:4522:47f4:607c,LAX,North America,Los Angeles,248 ms
2606:4700:139:51a7:8d39:1cee:ae7c:ed1,LAX,North America,Los Angeles,248 ms
2606:4700:85d1:8efa:f556:d545:fb75:10a4,FRA,Europe,Frankfurt,248 ms
2606:4700:59:ada1:d2d9:c752:f1be:44aa,LAX,North America,Los Angeles,248 ms
2606:4700:91be:40f9:a3ba:c306:6628:c8ef,FRA,Europe,Frankfurt,249 ms
2606:4700:300b:712:3ce:4763:6e92:dcf9,LAX,North America,Los Angeles,249 ms
2606:4700:91bd:b771:6715:aab7:4429:f63d,FRA,Europe,Frankfurt,249 ms
2606:4700:976d:5269:2718:8680:d2fd:d5c9,FRA,Europe,Frankfurt,250 ms
2606:4700:3:1207:1794:cd13:aa33:73d8,LAX,North America,Los Angeles,250 ms
2606:4700:13b:73cb:bdf0:f3f2:1e9e:ea72,LAX,North America,Los Angeles,250 ms
2606:4700:3006:3eaa:7f54:fead:a2e6:1316,LAX,North America,Los Angeles,250 ms
2606:4700:130:d67:8450:698d:4817:512c,LAX,North America,Los Angeles,250 ms
2606:4700:11:e694:6eb1:7b66:c86f:93e2,LAX,North America,Los Angeles,250 ms
2606:4700:1d:77ac:f65e:dc71:5379:fac8,LAX,North America,Los Angeles,250 ms
2606:4700:137:33f8:6695:c88e:bb1c:b60e,LAX,North America,Los Angeles,250 ms
2606:4700:3113:633e:70e2:aa8:ae7:437,LAX,North America,Los Angeles,250 ms
2606:4700:3011:3cf6:6e25:6c9f:8d0:3534,LAX,North America,Los Angeles,250 ms
2606:4700:91bc:b5b4:659f:edd5:3be:e97f,FRA,Europe,Frankfurt,250 ms
2606:4700:8dea:bb16:3234:a045:1209:a06a,FRA,Europe,Frankfurt,251 ms
2606:4700:138:9a55:d2e5:c2b7:32eb:c520,LAX,North America,Los Angeles,251 ms
2606:4700:16:d840:eabc:aec9:512e:18cc,LAX,North America,Los Angeles,251 ms
2606:4700:3000:948c:c169:2f54:1cfe:d77b,LAX,North America,Los Angeles,251 ms
2606:4700:13f:c03e:f27e:9f56:2764:f325,LAX,North America,Los Angeles,251 ms
2606:4700:300a:ccb3:80b7:1413:b639:8a7c,LAX,North America,Los Angeles,251 ms
2606:4700:1e:b28a:5cee:4803:d041:8f4,LAX,North America,Los Angeles,251 ms
2606:4700:10f:51e0:cdf1:9611:c41:60aa,LAX,North America,Los Angeles,251 ms
2606:4700:976c:863d:f51a:20f4:c91f:7a04,FRA,Europe,Frankfurt,252 ms
2606:4700:19:3663:b0ad:db6b:32c5:784b,LAX,North America,Los Angeles,252 ms
2606:4700:9c6f:5175:6a4f:d759:a1d1:56cd,FRA,Europe,Frankfurt,252 ms
2606:4700:9c6e:4fb5:5351:636f:9f9a:9ac2,FRA,Europe,Frankfurt,253 ms
2606:4700:1b:dce4:1f21:6008:a49d:819c,LAX,North America,Los Angeles,254 ms
2606:4700:135:ecb8:2322:e7c5:7b8e:1cd2,LAX,North America,Los Angeles,254 ms
2606:4700:132:6d3a:e5c4:d549:7140:5729,LAX,North America,Los Angeles,254 ms
2606:4700:17:5e61:71e9:6fc8:3c95:8c1,LAX,North America,Los Angeles,254 ms
2606:4700:3004:f6cf:6e01:b4fc:dc40:d923,LAX,North America,Los Angeles,254 ms
2606:4700:13:612:8bf3:497c:a0c1:4c84,LAX,North America,Los Angeles,255 ms
2606:4700:131:3729:535a:f6c8:cfda:d466,LAX,North America,Los Angeles,255 ms
2606:4700:3013:1779:1965:e2c6:6557:719e,LAX,North America,Los Angeles,255 ms
2606:4700:90df:c4fc:c609:b5fc:dc1f:d039,FRA,Europe,Frankfurt,255 ms
2606:4700:311a:8d17:8fb2:9eae:c57:d63b,LAX,North America,Los Angeles,256 ms
2606:4700:90de:34ae:3537:cc6e:bcbb:c83a,FRA,Europe,Frankfurt,256 ms
2606:4700:3007:5536:efda:249d:c065:39e6,LAX,North America,Los Angeles,256 ms
2606:4700:90dd:36a6:54f4:2b6b:6d92:8cc7,FRA,Europe,Frankfurt,256 ms
2606:4700:2:5c81:18a5:322d:672f:e2e4,LAX,North America,Los Angeles,256 ms
2606:4700:90dc:21e0:12bf:7c3a:dc0e:46c3,FRA,Europe,Frankfurt,257 ms
2606:4700:3005:14b5:7e1e:cd4c:ce13:54d,LAX,North America,Los Angeles,257 ms
2606:4700:9a6d:a36a:482:d34c:e7cc:d0d3,FRA,Europe,Frankfurt,258 ms
2606:4700:18:2e54:ab03:a2bc:b006:810c,LAX,North America,Los Angeles,259 ms
2606:4700:3002:c261:91:38f2:481b:9878,LAX,North America,Los Angeles,259 ms
2606:4700:1f:beea:5a70:a3dd:b814:46b8,LAX,North America,Los Angeles,260 ms
2606:4700:5b:9f1d:640f:810c:86b:78a,LAX,North America,Los Angeles,261 ms
2606:4700:14:e22f:ce5c:4412:6d9f:2566,LAX,North America,Los Angeles,262 ms
2606:4700:3110:179c:bb24:a489:b083:b942,LAX,North America,Los Angeles,262 ms
2606:4700:3009:beef:7645:ab32:4691:af56,LAX,North America,Los Angeles,262 ms
2606:4700:3008:2353:c7ff:fb8e:2c21:ebad,LAX,North America,Los Angeles,262 ms
2606:4700:3014:2b01:6cfb:b344:ae3b:b981,LAX,North America,Los Angeles,262 ms
2606:4700:3001:7372:eba:5acc:f413:890b,LAX,North America,Los Angeles,263 ms
2606:4700:12:6761:a4a4:b5ce:678b:babd,LAX,North America,Los Angeles,264 ms
2606:4700:311f:226b:b048:1e20:d5c0:904f,LAX,North America,Los Angeles,267 ms
2606:4700:9a6f:d589:af38:9714:3a0c:91f6,FRA,Europe,Frankfurt,273 ms
2606:4700:9a6c:19a2:df44:fbe9:fee5:7236,FRA,Europe,Frankfurt,275 ms
2606:4700:9a9f:84f4:a602:11ce:cc75:e445,FRA,Europe,Frankfurt,276 ms
2606:4700:9a6e:6c6a:f6b8:3e4d:ef46:bb08,FRA,Europe,Frankfurt,278 ms
2606:4700:9adc:335d:64ca:d679:57cd:e16f,FRA,Europe,Frankfurt,278 ms
2606:4700:90cf:263e:8feb:805d:1b9c:dcd4,FRA,Europe,Frankfurt,280 ms
2606:4700:90ce:ab00:6f80:123:276d:7422,FRA,Europe,Frankfurt,281 ms
2606:4700:9ade:a4e0:dd73:fece:dbd6:2f96,FRA,Europe,Frankfurt,283 ms
2606:4700:9adf:d486:852e:5877:1dcc:196d,FRA,Europe,Frankfurt,285 ms
2606:4700:9add:2f9d:592:63:8dc6:ef9e,FRA,Europe,Frankfurt,288 ms
2606:4700:9a9e:25e2:f13b:538e:f9a7:1c60,FRA,Europe,Frankfurt,291 ms
2606:4700:90cd:50e3:5e5c:3451:98f4:bc67,FRA,Europe,Frankfurt,291 ms
2606:4700:90cc:f38b:c4f6:cba6:c719:e508,FRA,Europe,Frankfurt,291 ms
2606:4700:9a9c:a273:2d44:be1a:f8c6:99f6,FRA,Europe,Frankfurt,292 ms
2606:4700:9a9d:2c1b:9e1b:72a0:93f2:a1ea,FRA,Europe,Frankfurt,295 ms
2606:4700:83bb:3676:cda0:95d1:dcc1:41f8,MAA,Asia Pacific,Chennai,333 ms
2606:4700:83b8:31c1:c6d4:6eef:1ca5:6561,MAA,Asia Pacific,Chennai,346 ms
2606:4700:83b5:b45b:e003:7a89:9f53:969f,MAA,Asia Pacific,Chennai,346 ms
2606:4700:83b3:7c83:437c:ce4:195d:f1d5,MAA,Asia Pacific,Chennai,348 ms
2606:4700:83b9:37c5:2103:a057:d10f:9b7f,MAA,Asia Pacific,Chennai,350 ms
2606:4700:83b2:6b37:34c0:2fb:7a29:77ea,MAA,Asia Pacific,Chennai,351 ms
2606:4700:83b1:ce21:d527:6126:9e77:ed68,MAA,Asia Pacific,Chennai,352 ms
2606:4700:83b6:6f6f:70f3:76a1:97a8:217b,MAA,Asia Pacific,Chennai,352 ms
2606:4700:83b0:1f2f:adc7:5955:cd01:f0e1,MAA,Asia Pacific,Chennai,352 ms
2606:4700:83ba:9350:da8:4ca8:a672:d3f3,MAA,Asia Pacific,Chennai,373 ms
