IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
2606:4700:99e8:1721:fb82:9361:5c2e:7948,44,100,57,0
2606:4700:99e7:6eff:6c14:e215:fe72:f8f4,32,102,58,0
2606:4700:9a9b:8767:5f1:13e9:b005:f9da,37,100,58,0
2606:4700:99e1:a237:e66:deee:c6bf:975a,39,99,58,0
2606:4700:99e4:300f:c3ae:3d27:46a3:24ea,44,100,58,0
2606:4700:9ad5:990c:661:4e3d:c2ed:e897,31,88,58,0
2606:4700:99e5:25a2:d4d0:4976:db91:f6f6,44,98,58,0
2606:4700:9ae0:d443:cb6b:a6d1:9704:c157,45,100,58,0
2606:4700:99e6:bbbb:5097:c0c5:9db9:3eda,39,121,59,0
2606:4700:99e0:abd:eee2:dbc2:9b21:7c94,44,100,59,0
2606:4700:99e9:e9d5:8db9:3c39:2f15:139e,41,90,59,0
2606:4700:99ea:ff3a:83e8:78de:867e:debd,40,102,59,0
2606:4700:9a60:86d8:e301:5338:bb9c:d463,36,102,59,0
2606:4700:9ae1:9b72:fcd:bee4:4c57:65c3,38,107,59,0
2606:4700:99eb:9071:8cba:bc8d:f998:2847,36,98,59,0
2606:4700:99e2:aef3:3ef2:9b44:bc49:5727,45,97,60,0
2606:4700:99e3:a408:f098:4a35:5f91:465,45,95,60,0
2606:4700:9ad0:a0ab:d52e:48e3:edd7:3a13,35,104,60,0
2606:4700:9ad2:a899:98d7:1a7e:6905:46f0,44,99,60,0
2606:4700:9ad6:8433:6431:12a7:6919:2334,47,101,61,0
2606:4700:9b01:2415:e438:210:a027:809,46,76,61,0
2606:4700:9ad1:aa1b:2d82:83b9:146:ee10,47,110,61,0
2606:4700:8392:625e:cb23:2857:99e1:b2aa,40,71,61,0
2606:4700:8393:13ed:4890:b255:c0af:a321,37,77,62,0
2606:4700:9769:fb2f:af73:517d:9c67:be8b,29,81,62,0
2606:4700:9ad3:6fb7:f7ac:3881:b775:d17e,50,99,62,0
2606:4700:9c6a:1a2b:8c69:d746:d47e:2c0c,45,74,62,0
2606:4700:9644:5e52:9e0:671:c026:a9bf,45,79,63,0
2606:4700:9b03:3dbb:a6f8:90f8:fc43:a45d,41,77,63,0
2606:4700:9763:f20c:5783:8f36:a624:db97,46,77,63,0
2606:4700:90d3:df82:9c12:90d8:6ed8:67d8,38,80,63,0
2606:4700:9b02:1320:fa3:1191:2980:d78f,50,78,63,0
2606:4700:9b0a:8fe8:9217:253f:d91:c969,45,74,63,0
2606:4700:8398:36c7:3aa:d87d:9813:98a,51,79,63,0
2606:4700:57:638:100d:926d:e089:4b92,36,78,63,0
2606:4700:90ca:be7c:650b:aa66:7bac:51c4,47,80,63,0
2606:4700:90c9:dad6:e2c7:51d5:4ec2:2e8d,36,81,63,0
2606:4700:91b7:90ff:dc75:1756:c8a7:71bb,45,78,63,0
2606:4700:91ba:1ec1:58d9:9fdb:2cc5:9cce,45,82,63,0
2606:4700:976b:8f15:7930:6b15:4efc:3fa8,34,80,63,0
2606:4700:839b:2a3f:e7cc:c3be:f485:5344,46,76,63,0
2606:4700:8396:70fa:e44:a00c:7385:6ed,50,73,63,0
2606:4700:90cb:9ffc:aa1:1aab:70af:cc02,43,83,63,0
2606:4700:90c2:babc:a530:b2de:9dfc:29d7,43,84,64,0
2a06:98c1:3121:9587:3f42:8870:4f15:ef08,40,88,64,0
2606:4700:8ca5:b5db:386:3fb8:845c:3dce,45,82,64,0
2606:4700:9b05:f7a4:1e63:70bc:3b28:9d0e,36,89,64,0
2606:4700:90c3:6a50:a62e:da67:8e73:c905,55,74,64,0
2606:4700:8397:954e:6e31:a21b:49f7:7aa8,50,73,64,0
2606:4700:9649:4868:446b:3692:1421:6402,43,86,64,0
2606:4700:8ca6:a90b:c13f:19e1:3e9c:9121,47,81,64,0
2606:4700:9a69:9094:f99:c189:dcc0:446a,46,82,64,0
2606:4700:8395:2e86:8e89:cd45:fb07:354c,51,75,64,0
2606:4700:9b0b:3d8e:f3b6:2dce:a022:c88a,49,80,64,0
2606:4700:9c67:79cf:6cce:4301:173d:382a,50,80,64,0
2606:4700:9a67:9cc1:3a43:dfbd:f6e2:79af,47,87,64,0
2606:4700:90da:5dd2:3e12:71ee:53b8:2090,38,89,64,0
2606:4700:964b:534:25c:61c5:845e:a790,35,85,64,0
2606:4700:9b09:e0d5:bf2d:d3cf:efbe:41a6,45,81,65,0
2606:4700:9ae4:c617:4d1e:a197:83d4:c16e,45,90,65,0
2606:4700:f4:aae:1066:62e0:6c3c:9ee2,48,83,65,0
2606:4700:90db:11af:ec30:d070:4c13:a714,46,84,65,0
2606:4700:8ca0:b18a:2ebd:a452:2f6f:a117,51,74,65,0
2606:4700:9ada:68bc:7fb8:694a:6db4:98f7,42,87,65,0
2606:4700:9641:8db0:6bca:fe0a:9687:d5ed,48,90,65,0
2606:4700:8ca2:c94a:9905:e05b:50c5:c59,47,81,65,0
2606:4700:8ca9:dc0a:5ff5:edcf:8045:7038,50,80,65,0
2606:4700:90c0:1b1f:a051:c22b:7103:c430,48,83,65,0
2606:4700:964a:cf84:838e:9ab:f0c8:9665,44,90,65,0
2606:4700:9a92:216a:87da:62a6:79ab:b520,48,80,65,0
2606:4700:9a64:2bb6:7007:cfd6:7800:f575,43,84,65,0
2606:4700:9ad4:22c:24c1:75c6:8c4b:9677,45,87,65,0
2606:4700:9768:402a:163b:423d:a81:8727,48,78,65,0
2606:4700:9762:61a5:eb77:125c:45f1:7139,50,80,66,0
2606:4700:90c4:bdee:a109:e494:ca52:4fe7,47,78,66,0
2606:4700:9b08:a178:7d33:ef6c:7230:98f6,37,89,66,0
2606:4700:9b06:9ad3:238c:4968:b99f:b3b5,47,80,66,0
2606:4700:9764:44c0:8fd9:9165:884d:592d,50,82,66,0
2606:4700:8ca4:3515:f33e:f7db:69e6:4b1e,47,90,66,0
2606:4700:9648:b9d0:c452:1be0:f679:8693,42,90,66,0
2606:4700:9b04:11:849a:3209:3b7:1604,50,83,66,0
2606:4700:90c5:da37:b97c:624:42b6:9b81,32,80,66,0
2606:4700:976a:39ca:749d:8974:8f9f:f446,45,80,66,0
2606:4700:90d4:c188:1ec6:838a:c2ca:df00,48,80,66,0
2606:4700:8ca7:da0:c318:134d:7e69:f348,46,92,66,0
2606:4700:90c7:8a58:b40d:c576:20a7:9de2,43,81,66,0
2a06:98c1:3120:f313:9c99:6582:540f:efb1,52,79,66,0
2606:4700:8caa:39d5:a400:2266:3395:35b,51,81,66,0
2606:4700:9c69:ed35:950d:3013:78e0:621b,48,77,66,0
2606:4700:91b9:d76b:fdd:f84b:41d1:a812,48,81,66,0
2606:4700:9c63:72e0:1659:1b3a:a43b:8f06,50,80,66,0
2606:4700:9b00:4713:4ff9:d569:bd89:2987,43,81,66,0
2606:4700:91bb:6136:974c:1f4c:b956:2f1c,45,92,66,0
2606:4700:9640:1eae:551:d751:3e37:6a6b,40,91,67,0
2606:4700:9a61:f92e:715f:e0f:8912:b0e7,51,81,67,0
2606:4700:9a97:f462:ae7b:95b8:b48f:3d00,50,116,67,0
2606:4700:9a96:25c6:548b:96ab:9974:41cb,51,88,67,0
2606:4700:9760:9a2c:ee19:a175:7937:2db8,43,80,67,0
2606:4700:9b07:e8cf:7c47:8125:1351:cdc8,45,81,67,0
2606:4700:9761:642b:249e:276e:30cc:9f0c,51,81,67,0
2606:4700:9642:8367:cb9:e88c:c97d:552c,45,79,67,0
2606:4700:90c1:99e0:75d1:2eaa:f602:7da4,48,80,67,0
2606:4700:90d8:e027:bbe5:d909:a089:e2f6,50,80,67,0
2606:4700:90d9:45c4:1309:3338:12cc:622a,45,80,68,0
2606:4700:9adb:4fd:4467:7f6f:31b:9ed3,44,98,68,0
2606:4700:9a94:a1c6:cb5e:a707:1dc8:aa67,44,89,68,0
2606:4700:8ca3:a4b2:2ace:f9a6:befe:abf6,46,83,68,0
2606:4700:9a99:2454:cc91:8c58:925e:19ae,51,89,68,0
2606:4700:9ad9:b6e1:991d:f90a:778e:8470,51,92,68,0
2606:4700:9646:91d2:acf7:a11f:2df1:3f8c,46,86,68,0
2606:4700:8394:6bb4:d82a:eeb4:5846:cb92,45,94,68,0
2606:4700:9c60:ce20:2c41:7758:2612:db48,49,89,68,0
2606:4700:9ae5:3764:d95e:a45b:6b33:20be,54,101,68,0
2606:4700:8399:852c:1026:f306:c3f6:632a,38,90,68,0
2606:4700:9ae8:caca:514c:75e3:7358:1b9e,51,87,68,0
2606:4700:90d1:64e4:3da5:d548:c7d6:fdc4,47,92,68,0
2606:4700:9643:2e83:a47:7ffa:8a4d:e151,45,89,68,0
2606:4700:90d6:df2f:33f7:8bb3:980a:9c56,56,100,68,0
2606:4700:9a91:6f97:ac2:3b4f:b443:5996,55,87,69,0
2606:4700:9a9a:3a:6a54:7577:ba91:be83,47,91,69,0
2606:4700:9aeb:fc93:92e:e901:7e4a:2806,44,97,69,0
2606:4700:9ae6:18d3:cbd1:3e9:dbcd:e6c,53,91,69,0
2606:4700:9ae7:c0cb:4863:912:2e66:3dcd,55,91,69,0
2606:4700:9ae2:5d16:dc8e:6e0c:d349:2556,53,92,69,0
2606:4700:9c61:a9f:e70b:d922:1b39:86a5,54,87,69,0
2606:4700:91b2:f38b:c9a7:4e49:f5e2:6bea,54,98,69,0
2606:4700:90d0:a1e2:d386:93d7:1e87:2027,43,89,69,0
2606:4700:9ad8:65b:3ae2:bd99:3ede:bf50,48,80,69,0
2606:4700:9ae3:89fd:8658:7f0a:fd5:350f,53,95,69,0
2606:4700:9a93:ea6c:6a54:51b0:27ab:978f,51,91,69,0
2606:4700:91b3:8b2b:7b89:95d5:3ed7:78cd,44,115,69,0
2606:4700:9a98:6e0b:383e:cb20:ca1b:5bc7,46,91,69,0
2606:4700:9a6a:e113:1231:5b6d:727d:4602,37,105,69,0
2606:4700:90d2:5a84:dd79:ca03:e9e7:8938,53,90,69,0
2606:4700:9c62:89f0:8a42:9a03:e2d1:b647,37,90,69,0
2606:4700:9647:2b59:c061:e177:7c1e:afc5,48,90,69,0
2606:4700:9a66:f6e8:2ffb:b115:68aa:2720,53,98,69,0
2606:4700:9c64:9002:820c:7eb4:1e10:4888,48,83,69,0
2606:4700:9ad7:74b7:5788:2794:11b8:f8a,46,89,69,0
2606:4700:90d7:9333:97ca:3d6f:2293:894e,55,84,69,0
2606:4700:9a6b:e7c5:b52:c711:2e9d:3a26,43,90,69,0
2606:4700:9645:f1ea:922a:aadc:ae1f:ab42,48,93,70,0
2606:4700:91b0:5f35:2236:1f80:e409:4342,54,115,70,0
2606:4700:9a65:b4a2:d9bd:a380:7794:4d9b,54,98,70,0
2606:4700:9a62:ad4f:65a1:751a:c5ce:8405,51,90,70,0
2606:4700:9a95:9368:dffd:a3cd:e896:97ab,54,89,70,0
2606:4700:839a:5c6e:cb5b:af18:dd9:4b90,54,117,70,0
2606:4700:90d5:5d9:c4b5:3413:4124:28ff,52,91,70,0
2606:4700:91b8:bc0e:b862:fcb7:4c0f:e105,49,83,70,0
2606:4700:8390:d40:e950:817c:4c57:511b,54,82,70,0
2606:4700:9766:5298:bf8e:9da7:d516:b4b2,46,87,70,0
2606:4700:9a63:6bc9:41d3:cd46:8237:1491,51,99,71,0
2606:4700:90c8:8f73:7230:74e0:3d84:49db,49,89,71,0
2606:4700:8ca1:c727:f12b:3aff:5983:568e,47,84,71,0
2606:4700:91b6:9748:bedb:a455:8589:7338,48,98,71,0
2606:4700:8391:726f:48de:4ad5:ebeb:60e0,51,90,71,0
2606:4700:91b4:c136:5ea2:d439:748f:175f,44,117,71,0
2606:4700:9c68:f943:a708:63bb:7a08:99a8,49,82,71,0
2606:4700:9767:f2e8:bd56:5b8f:a154:7956,52,89,71,0
2606:4700:9c66:2197:97d1:6bd7:fb5c:51ec,49,89,71,0
2606:4700:91b5:e85a:145c:c900:4de1:59ba,51,117,71,0
2606:4700:9765:ad5:46fb:476:36c:53c9,55,82,71,0
2606:4700:8cab:5d6e:af66:e208:aa0:b6f4,58,84,71,0
2606:4700:91b1:cafe:f0ab:4b8:2cbc:912e,44,118,71,0
2606:4700:9c6b:6857:1b2f:7062:7657:74a2,58,86,71,0
2606:4700:90c6:8aa6:d145:34d1:4f2e:38c6,49,84,71,0
2606:4700:8ca8:36e6:2ec6:7a4a:33e4:9cea,53,92,71,0
2606:4700:9a90:528a:8fd:a4a5:8609:402b,49,99,72,0
2606:4700:9c65:4dca:1b7e:b5d4:c9a1:a623,51,83,72,0
2606:4700:9aea:b14f:c57a:df90:1c62:74bf,51,89,72,0
2606:4700:9a68:e859:9688:3742:a99:1240,53,115,72,0
2606:4700:9ae9:5139:9607:e33b:8dff:6153,57,92,74,0
